Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart-immunizations-mini.json	6752	-	0	0	0	0	0	0	6	744	0	0	0	0	0	0	0	0	0	0	175	287	0	0	1	3	0	0
fsh-generated/resources/StructureDefinition-MyPatient.json	1201	35	0	0	0	1	0	1444	1	1376	0	0	0	0	0	0	0	2	0	0	259	2996	0	1	0	14	1	1
fsh-generated/resources/Patient-PatientExample.json	296	12	1	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	6	31	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-SMARTImplementationGuide.json	1184	26	0	0	0	0	0	2984	0	2897	0	0	0	0	0	0	0	4	0	0	449	2272	0	0	0	24	0	1
